service_id,date,exception_type
4649:GVB:48:W:WE,20171019,1
4649:GVB:48:W:WE,20171020,1
4649:GVB:48:W:WE,20171023,1
4649:GVB:48:W:WE,20171024,1
4649:GVB:48:W:WE,20171025,1
4649:GVB:48:W:WE,20171026,1
4649:GVB:48:W:WE,20171027,1
4649:GVB:48:W:WE,20171030,1
4649:GVB:48:W:WE,20171031,1
4649:GVB:48:W:WE,20171101,1
4649:GVB:48:W:WE,20171102,1
4649:GVB:48:W:WE,20171103,1
4649:GVB:48:W:WE,20171106,1
4649:GVB:48:W:WE,20171107,1
4649:GVB:48:W:WE,20171108,1
4649:GVB:48:W:WE,20171109,1
4649:GVB:48:W:WE,20171110,1
4649:GVB:48:W:WE,20171113,1
4649:GVB:48:W:WE,20171114,1
4649:GVB:48:W:WE,20171115,1
4649:GVB:48:W:WE,20171116,1
4649:GVB:48:W:WE,20171117,1
4649:GVB:48:W:WE,20171120,1
4649:GVB:48:W:WE,20171121,1
4649:GVB:48:W:WE,20171122,1
4649:GVB:48:W:WE,20171123,1
4649:GVB:48:W:WE,20171124,1
4649:GVB:48:W:WE,20171127,1
4649:GVB:48:W:WE,20171128,1
4649:GVB:48:W:WE,20171129,1
4649:GVB:48:W:WE,20171130,1
4649:GVB:48:W:WE,20171201,1
4649:GVB:48:W:WE,20171204,1
4649:GVB:48:W:WE,20171205,1
4649:GVB:48:W:WE,20171206,1
4281:GVB:231:W:WE,20170119,1
4281:GVB:231:W:WE,20170120,1
4281:GVB:231:W:WE,20170123,1
4438:GVB:752:W:ZO,20170604,1
4438:GVB:752:W:ZO,20170611,1
4438:GVB:752:W:ZO,20170618,1
4281:GVB:912:W:WE,20170427,1
4281:GVB:912:W:WE,20170428,1
4281:GVB:912:W:WE,20170501,1
4281:GVB:912:W:WE,20170502,1
4281:GVB:912:W:WE,20170505,1
4281:GVB:912:W:WE,20170508,1
4281:GVB:912:W:WE,20170509,1
4281:GVB:912:W:WE,20170510,1
4281:GVB:912:W:WE,20170511,1
4281:GVB:912:W:WE,20170512,1
4281:GVB:912:W:WE,20170515,1
4281:GVB:912:W:WE,20170516,1
4281:GVB:912:W:WE,20170517,1
4281:GVB:69:W:WE,20170724,1
4281:GVB:69:W:WE,20170725,1
4281:GVB:69:W:WE,20170726,1
4281:GVB:69:W:WE,20170727,1
4281:GVB:69:W:WE,20170728,1
4281:GVB:69:W:WE,20170731,1
4281:GVB:47:W:ZO,20171105,1
4281:GVB:47:W:ZO,20171112,1
4281:GVB:47:W:ZO,20171119,1
4281:GVB:47:W:ZO,20171126,1
4281:GVB:9:W:WE,20170124,1
4281:GVB:9:W:WE,20170125,1
4281:GVB:9:W:WE,20170126,1
4281:GVB:9:W:WE,20170127,1
4281:GVB:9:W:WE,20170130,1
4281:GVB:9:W:WE,20170131,1
4281:GVB:9:W:WE,20170201,1
4281:GVB:9:W:WE,20170202,1
4281:GVB:9:W:WE,20170203,1
4281:GVB:9:W:WE,20170206,1
4281:GVB:9:W:WE,20170207,1
4281:GVB:9:W:WE,20170210,1
4281:GVB:31:W:WE,20171009,1
4281:GVB:31:W:WE,20171010,1
4281:GVB:31:W:WE,20171011,1
4281:GVB:31:W:WE,20171012,1
4281:GVB:31:W:WE,20171019,1
4281:GVB:31:W:WE,20171020,1
4281:GVB:31:W:WE,20171023,1
4281:GVB:31:W:WE,20171024,1
4281:GVB:31:W:WE,20171025,1
4281:GVB:31:W:WE,20171026,1
4281:GVB:31:W:WE,20171027,1
4281:GVB:31:W:WE,20171030,1
4281:GVB:31:W:WE,20171031,1
4281:GVB:463:AA:WE,20170605,1
4281:GVB:463:AA:WE,20170606,1
4281:GVB:909:W:WE,20170301,1
4281:GVB:909:W:WE,20170302,1
4281:GVB:914:W:ZA,20170325,1
4281:GVB:914:W:ZA,20170401,1
4281:GVB:914:W:ZA,20170408,1
4281:GVB:914:W:ZA,20170415,1
4281:GVB:914:W:ZA,20170422,1
4281:GVB:914:W:ZA,20170429,1
4281:GVB:914:W:ZA,20170506,1
4281:GVB:9:W:WE,20170113,1
4281:GVB:9:W:WE,20170116,1
4281:GVB:9:W:WE,20170117,1
4281:GVB:9:W:WE,20170118,1
4281:GVB:9:W:WE,20170119,1
4281:GVB:9:W:WE,20170120,1
4281:GVB:9:W:WE,20170123,1
4281:GVB:41:W:ZO,20170730,1
4281:GVB:41:W:ZO,20170806,1
4281:GVB:37:W:WE,20170901,1
4438:GVB:754:W:WE,20170407,1
4438:GVB:754:W:WE,20170410,1
4438:GVB:754:W:WE,20170411,1
4438:GVB:754:W:WE,20170412,1
4438:GVB:754:W:WE,20170413,1
4438:GVB:754:W:WE,20170414,1
4438:GVB:754:W:WE,20170417,1
4281:GVB:66:W:WE,20161229,1
4281:GVB:66:W:WE,20161230,1
4281:GVB:66:W:WE,20170102,1
4281:GVB:66:W:WE,20170103,1
4281:GVB:66:W:WE,20170104,1
4281:GVB:913:W:WE,20170511,1
