stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00505,00505,"Diemen, Arent Krijtsstraat",52.339566,4.954694,0,stoparea:GVB:00504,,0,,
GVB:00506,00506,"Amsterdam, Science Park Terra",52.354346,4.958307,0,stoparea:GVB:00506,,,,
GVB:00507,00507,"Amsterdam, Science Park Terra",52.354138,4.957722,0,stoparea:GVB:00507,,,,
GVB:00511,00511,"Duivendrecht, Station Duivendrecht",52.323142,4.936827,0,stoparea:GVB:09551,,1,,
GVB:00512,00512,"Amsterdam, Middenweg",52.350202,4.933896,0,stoparea:GVB:00065,,0,,
GVB:00514,00514,"Amsterdam, Eekholt",52.326825,4.965409,0,stoparea:GVB:00514,,1,,
GVB:00515,00515,"Duivendrecht, Station Duivendrecht",52.323187,4.936694,0,stoparea:GVB:09551,,1,,
GVB:00518,00518,"Amsterdam, Foppingadreef",52.312684,4.949676,0,stoparea:GVB:00517,,0,,
GVB:00525,00525,"Diemen, Provincialeweg",52.327656,4.9719,0,stoparea:GVB:00525,,0,,
GVB:00526,00526,"Diemen, Provincialeweg",52.327992,4.972703,0,stoparea:GVB:00525,,0,,
GVB:00528,00528,"Amsterdam, Eekholt",52.327199,4.967063,0,stoparea:GVB:00527,,1,,
GVB:00529,00529,"Amsterdam, Station Science Park",52.352304,4.947818,0,stoparea:GVB:00529,,1,,
GVB:00537,00537,"Amsterdam, Linnaeusparkweg",52.349247,4.942755,0,stoparea:GVB:00055,,0,,
GVB:00538,00538,"Amsterdam, Station Science Park",52.352395,4.948081,0,stoparea:GVB:00529,,1,,
GVB:00548,00548,"Amsterdam, Station Spaklerweg",52.337843,4.921975,0,stoparea:GVB:00548,,0,,
GVB:00549,00549,"Amsterdam, Station Spaklerweg",52.337752,4.921756,0,stoparea:GVB:00548,,0,,
GVB:00550,00550,"Duivendrecht, Joan Muyskenweg",52.329783,4.915708,0,stoparea:GVB:00550,,0,,
GVB:00551,00551,"Duivendrecht, Joan Muyskenweg",52.329397,4.915829,0,stoparea:GVB:00550,,0,,
